username;#1_Melkmaschine;#2_Schere;#3_Buerste;#4_Kupferhacke;#5_Silberangel;#6_Goldsichel;#7_Giesskanne;#8_Beil;#1_Schnuffi;#2_Langohr;#3_Shelly;#4_Federwisch;#5_Knacki;#6_Goldodil;#7_Ennui;#8_Feuerjunges;#1_Wii;#2_Gamecube;#3_DS;#4_Playstation;#5_N64;#6_SNES;#7_Gameboy;#8_NES
bluelumari;3;8;8;5;7;3;2;1;7;8;7;3;3;7;2;1;2;1;1;1;3;1;1;1
EinhornMetzgerin_;5;1;1;1;2;2;1;1;9;14;11;8;6;4;6;0;0;2;0;0;0;0;0;0
jayarjj;3;3;5;1;2;4;0;0;4;4;3;1;0;1;1;0;2;2;1;0;4;0;0;0
kittyy1969;3;7;9;3;5;7;1;1;6;8;4;4;4;4;2;1;1;1;4;2;0;3;0;1
nanabi7;2;6;4;5;3;3;0;0;1;3;1;2;2;3;3;1;3;4;1;1;4;2;1;0
SkorpionMamaX6;6;10;9;10;4;4;2;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
TheAdventureShark;5;4;4;2;2;0;1;0;0;1;2;0;1;0;1;0;7;9;9;10;10;11;0;6
bullyteufel;1;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LunaraPlays;1;3;4;2;4;2;1;1;5;14;6;7;4;4;1;1;5;1;2;1;3;2;1;0
Babutsch;1;1;1;3;1;1;1;0;3;1;0;2;1;0;0;0;1;4;1;0;0;1;1;0
MochiiShiba;12;4;9;8;6;7;1;3;5;5;3;3;1;1;1;1;2;4;1;1;3;2;3;2
eti_133;0;2;1;1;1;1;0;0;3;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0
aishamaus;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sommerwind2000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xLEECAN;2;0;2;0;1;1;0;0;2;1;1;0;2;0;1;0;2;0;0;0;1;0;0;0
voooot;7;10;7;5;2;4;1;1;2;11;3;3;3;4;1;2;5;3;4;3;2;1;1;1
missmarymay28;3;4;2;1;4;3;1;1;3;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Ruby_Lin;0;0;1;0;0;0;0;0;3;1;5;1;1;1;2;1;0;0;0;0;0;0;0;0
kamikazebienchen;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
angiunique;0;5;2;3;2;1;1;0;2;6;4;1;1;2;1;1;0;0;0;0;0;0;0;0
TJ_Artwork;1;1;3;1;1;1;2;1;5;5;3;4;1;3;1;0;0;0;0;0;0;0;0;0
YukiFlower;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0
